Order_ID,Order_Date,Product,Category,Region,Quantity,Price,Total_Sales
475,2024-12-20,Tablet,Accessories,West,4,7127,28508
476,2024-10-02,Headphones,Accessories,North,4,8485,33940
477,2024-10-01,Headphones,Accessories,North,5,38747,193735
478,2024-09-15,Tablet,Electronics,West,1,31009,31009
479,2024-08-09,Smartwatch,Accessories,South,5,4214,21070
480,2024-12-18,Headphones,Electronics,North,4,1160,4640
481,2024-06-20,Mobile,Electronics,West,3,48435,145305
482,2024-06-20,Headphones,Electronics,North,3,18720,56160
483,2024-11-03,Smartwatch,Accessories,East,3,11737,35211
484,2024-12-20,Headphones,Accessories,South,3,17114,51342
485,2024-10-29,Mobile,Accessories,North,5,16270,81350
486,2024-02-18,Tablet,Electronics,West,3,37508,112524
487,2024-01-05,Headphones,Accessories,West,2,45127,90254
488,2024-04-08,Smartwatch,Electronics,West,1,20949,20949
489,2024-04-10,Tablet,Electronics,West,4,31118,124472
490,2024-06-05,Tablet,Accessories,West,5,24778,123890
491,2024-11-30,Headphones,Electronics,West,3,19884,59652
492,2024-12-18,Headphones,Accessories,East,4,5723,22892
493,2024-09-18,Laptop,Electronics,West,2,45182,90364
494,2024-07-10,Smartwatch,Accessories,South,4,2579,10316
495,2024-06-09,Mobile,Accessories,West,1,7219,7219
496,2024-09-05,Tablet,Electronics,West,4,43728,174912
497,2024-05-26,Tablet,Electronics,North,1,32190,32190
498,2024-05-07,Mobile,Accessories,South,5,2447,12235
499,2024-09-24,Laptop,Accessories,East,3,6899,20697
500,2024-10-23,Headphones,Accessories,North,2,11719,23438
